caso_de_uso,versao,caso_de_teste,classificacao,qtd_linhas_alteradas_no_modelo_mais_antigo,alteracoes_detectadas_na_metrica_da_ferramenta,total_linhas_no_modelo_mais_antigo
extracao_em_modo_llt,3,145,1,1,1,98
extracao_em_modo_llt,3,146,1,1,1,98
extracao_em_modo_llt,3,147,1,1,1,98
extracao_em_modo_llt,3,148,1,1,1,98
extracao_em_modo_llt,3,149,1,1,1,98
extracao_em_modo_llt,3,150,1,1,1,98
extracao_em_modo_llt,3,151,1,1,1,98
extracao_em_modo_llt,3,152,1,1,1,98
extracao_em_modo_llt,3,153,1,1,1,98
extracao_em_modo_llt,3,154,1,1,1,98
extracao_em_modo_llt,3,155,1,1,1,98
extracao_em_modo_llt,3,156,1,1,1,98
extracao_em_modo_llt,3,157,1,1,1,98
extracao_em_modo_llt,3,158,1,1,1,98
extracao_em_modo_llt,3,159,1,1,1,98
extracao_em_modo_llt,3,160,1,1,1,98
extracao_em_modo_llt,3,161,1,1,1,98
extracao_em_modo_llt,3,162,1,1,1,98
extracao_em_modo_llt,3,163,1,1,1,98
extracao_em_modo_llt,3,164,1,1,1,98
extracao_em_modo_llt,3,165,1,1,1,98
extracao_em_modo_llt,3,166,1,1,1,98
extracao_em_modo_llt,3,167,1,1,1,98
extracao_em_modo_llt,3,168,1,1,1,98
extracao_em_modo_llt,3,169,1,1,1,98
extracao_em_modo_llt,3,170,1,1,1,98
extracao_em_modo_llt,3,171,1,1,1,98
extracao_em_modo_llt,3,172,1,1,1,98
extracao_em_modo_llt,3,173,1,1,1,98
extracao_em_modo_llt,3,174,1,1,1,98
extracao_em_modo_llt,3,175,1,1,1,98
extracao_em_modo_llt,3,176,1,1,1,98
extracao_em_modo_llt,3,177,1,1,1,98
extracao_em_modo_llt,3,178,1,1,1,98
extracao_em_modo_llt,3,179,1,1,1,98
extracao_em_modo_llt,3,180,1,1,1,98
extracao_em_modo_llt,3,181,1,1,1,98
extracao_em_modo_llt,3,182,1,1,1,98
extracao_em_modo_llt,3,183,1,1,1,98
extracao_em_modo_llt,3,184,1,1,1,98
extracao_em_modo_llt,3,185,1,1,1,98
extracao_em_modo_llt,3,186,1,1,1,98
extracao_em_modo_llt,3,187,1,1,1,98
extracao_em_modo_llt,3,188,1,1,1,98
extracao_em_modo_llt,3,189,1,1,1,98
extracao_em_modo_llt,3,190,1,1,1,98
extracao_em_modo_llt,3,191,1,1,1,98
extracao_em_modo_llt,3,192,1,1,1,98
extracao_em_modo_llt,3,193,1,1,1,98
extracao_em_modo_llt,3,194,1,1,1,98
extracao_em_modo_llt,3,195,1,1,1,98
extracao_em_modo_llt,3,196,1,1,1,98
extracao_em_modo_llt,3,197,1,1,1,98
extracao_em_modo_llt,3,198,1,1,1,98
extracao_em_modo_llt,3,199,1,1,1,98
extracao_em_modo_llt,3,200,1,1,1,98
extracao_em_modo_llt,3,201,1,1,1,98
extracao_em_modo_llt,3,202,1,1,1,98
extracao_em_modo_llt,3,203,1,1,1,98
extracao_em_modo_llt,3,204,1,1,1,98
extracao_em_modo_llt,3,205,1,1,1,98
extracao_em_modo_llt,3,206,1,1,1,98
extracao_em_modo_llt,3,207,1,1,1,98
extracao_em_modo_llt,3,208,1,1,1,98
extracao_em_modo_llt,3,209,1,1,1,98
extracao_em_modo_llt,3,210,1,1,1,98
extracao_em_modo_llt,3,211,1,1,1,98
extracao_em_modo_llt,3,212,1,1,1,98
extracao_em_modo_llt,3,213,1,1,1,98
extracao_em_modo_llt,3,214,1,1,1,98
extracao_em_modo_llt,3,215,1,1,1,98
extracao_em_modo_llt,3,216,1,1,1,98
extracao_em_modo_llt,3,217,1,1,1,98
extracao_em_modo_llt,3,218,1,1,1,98
extracao_em_modo_llt,3,219,1,1,1,98
extracao_em_modo_llt,3,220,1,1,1,98
extracao_em_modo_llt,3,221,1,1,1,98
extracao_em_modo_llt,3,222,1,1,1,98
extracao_em_modo_llt,3,223,1,1,1,98
extracao_em_modo_llt,3,224,1,1,1,98
extracao_em_modo_llt,3,225,1,1,1,98
extracao_em_modo_llt,3,226,1,1,1,98
extracao_em_modo_llt,3,227,1,1,1,98
