caso_de_uso,versao,caso_de_teste,classificacao,qtd_linhas_alteradas_no_modelo_mais_antigo,alteracoes_detectadas_na_metrica_da_ferramenta,total_linhas_no_modelo_mais_antigo
extracao_em_modo_llt,3,120,reutilizavel,1,1,98
extracao_em_modo_llt,3,121,reutilizavel,1,1,98
extracao_em_modo_llt,3,122,reutilizavel,1,1,98
extracao_em_modo_llt,3,123,reutilizavel,1,1,98
extracao_em_modo_llt,3,124,reutilizavel,1,1,98
extracao_em_modo_llt,3,125,reutilizavel,1,1,98
extracao_em_modo_llt,3,126,reutilizavel,1,1,98
extracao_em_modo_llt,3,127,reutilizavel,1,1,98
extracao_em_modo_llt,3,128,reutilizavel,1,1,98
extracao_em_modo_llt,3,129,reutilizavel,1,1,98
extracao_em_modo_llt,3,130,reutilizavel,1,1,98
extracao_em_modo_llt,3,131,reutilizavel,1,1,98
extracao_em_modo_llt,3,132,reutilizavel,1,1,98
extracao_em_modo_llt,3,133,reutilizavel,1,1,98
extracao_em_modo_llt,3,134,reutilizavel,1,1,98
extracao_em_modo_llt,3,135,reutilizavel,1,1,98
extracao_em_modo_llt,3,136,obsoleto_funcionalidade_alterada,1,1,98
extracao_em_modo_llt,3,137,reutilizavel,1,1,98
extracao_em_modo_llt,3,138,reutilizavel,1,1,98
extracao_em_modo_llt,3,139,reutilizavel,1,1,98
extracao_em_modo_llt,3,140,reutilizavel,1,1,98
extracao_em_modo_llt,3,141,reutilizavel,1,1,98
extracao_em_modo_llt,3,142,reutilizavel,1,1,98
extracao_em_modo_llt,3,143,reutilizavel,1,1,98
extracao_em_modo_llt,3,144,reutilizavel,1,1,98
extracao_em_modo_llt,3,145,reutilizavel,1,1,98
extracao_em_modo_llt,3,146,reutilizavel,1,1,98
extracao_em_modo_llt,3,147,reutilizavel,1,1,98
extracao_em_modo_llt,3,148,reutilizavel,1,1,98
extracao_em_modo_llt,3,149,reutilizavel,1,1,98
extracao_em_modo_llt,3,150,reutilizavel,1,1,98
extracao_em_modo_llt,3,151,reutilizavel,1,1,98
extracao_em_modo_llt,3,152,reutilizavel,1,1,98
extracao_em_modo_llt,3,153,reutilizavel,1,1,98
extracao_em_modo_llt,3,154,reutilizavel,1,1,98
extracao_em_modo_llt,3,155,reutilizavel,1,1,98
extracao_em_modo_llt,3,156,reutilizavel,1,1,98
